,broj_soba,kvadratura_m2,spratnost,godina,udaljenost
661,3,94,3,1950,1.6695696906286124
663,3,74,3,1979,0.6620427698899353
664,3,98,3,2016,5.999329576170734
665,3,67,1,2020,8.758272925844354
666,1,31,2,1955,0.5971212879791641
667,3,79,8,2002,4.627809124287993
668,3,83,3,1926,2.1630935026910407
670,3,86,1,2006,3.229503918362215
671,4,138,7,2010,4.382941271201817
672,4,142,2,2018,3.028100804547556
674,3,59,4,2019,9.02179299995636
677,3,61,2,1951,4.375819561017562
678,3,74,2,2009,6.19034668998448
681,4,70,4,2013,4.627809124287993
682,3,83,1,2019,4.627809124287993
683,3,65,1,2019,4.180902157560265
684,3,86,1,1961,4.627809124287993
685,4,101,6,2019,4.627809124287993
686,3,83,3,2010,2.950728658023147
687,3,87,4,2006,2.950728658023147
688,4,80,1,2009,6.412357511311248
689,4,71,4,2018,6.412357511311248
690,3,96,3,1985,2.950728658023147
691,2,44,4,2016,4.627809124287993
692,4,83,2,1954,0.33608526663220517
693,3,62,4,2017,3.900039816858124
694,3,124,3,2012,4.180902157560265
695,3,73,4,2018,8.060358697490658
697,6,260,3,2013,4.627809124287993
698,5,115,3,1988,8.060358697490658
699,3,90,3,2010,4.627809124287993
701,3,75,1,2010,4.627809124287993
702,3,86,4,2000,4.627809124287993
703,4,125,3,2008,2.950728658023147
704,2,52,1,1960,10.408761773900787
705,5,110,5,2000,4.627809124287993
706,3,79,4,2009,6.412357511311248
707,3,88,1,2008,8.060358697490658
708,2,47,1,2012,8.060358697490658
709,3,165,7,2010,4.180902157560265
710,4,91,11,2001,4.627809124287993
711,3,102,5,1982,6.327538309738908
712,3,82,2,1935,4.180902157560265
714,4,90,3,2000,7.341600443143959
716,4,103,2,2021,5.5362987541185245
718,2,42,2,2021,1.632392123413332
719,5,124,3,2020,3.215018856368662
720,4,87,4,1970,7.304095597826741
722,5,104,1,2010,3.3908802817498596
723,4,71,4,2018,6.412357511311248
724,4,85,1,1935,3.028100804547556
725,5,111,3,1990,6.412357511311248
726,4,72,5,1988,5.410252426884404
727,3,87,2,2019,3.215018856368662
728,4,68,5,1985,2.950728658023147
729,4,88,1,2021,3.229503918362215
731,3,78,7,1976,1.8357865205205397
733,3,57,3,2010,2.6496467107738804
734,2,65,2,2017,4.627809124287993
737,4,110,3,2008,4.627809124287993
738,4,160,3,2020,0.7637809531403825
739,4,84,5,1990,3.229503918362215
740,4,94,2,2001,2.950728658023147
743,4,82,5,2020,3.7759754581122
744,5,159,3,2011,3.764078274853733
745,4,83,3,2009,3.229503918362215
747,5,142,1,2001,7.341600443143959
748,2,66,6,1992,4.627809124287993
749,4,97,2,1985,8.707751488371587
750,1,34,2,1970,6.2241629532191105
751,2,46,2,2021,6.558459236390924
752,5,376,3,2017,3.215018856368662
753,3,105,3,1975,1.4548943184742773
754,3,83,1,2021,2.8931627895061047
755,3,98,5,2021,2.8931627895061047
757,2,63,7,1998,8.943213643405164
758,4,109,2,1995,0.6620427698899353
759,3,76,1,1980,2.4656921514269445
760,2,55,4,2020,7.046777409176671
761,2,49,3,2020,7.046777409176671
762,3,84,3,2009,2.670760515983161
763,3,71,2,2021,3.215018856368662
764,2,56,2,2020,0.7637809531403825
765,3,61,3,2019,3.229503918362215
766,4,90,3,1938,2.950728658023147
767,3,56,7,1992,5.774822769024017
768,3,91,7,1959,1.0532900558286078
769,3,80,5,2006,1.151400209782773
771,3,80,6,1997,5.5362987541185245
772,3,76,2,2019,11.920072721153614
773,3,67,1,2021,6.412357511311248
774,3,67,2,2021,6.412357511311248
775,3,77,2,2016,10.55949884993751
776,3,70,1,2013,5.366227568282904
777,3,75,1,1970,7.304095597826741
779,3,67,6,1960,0.33608526663220517
781,3,71,2,2021,8.758272925844354
782,3,80,1,1936,3.764078274853733
783,3,66,2,2010,8.50683751498356
784,3,73,7,2021,3.9681777402122815
785,3,67,1,2020,3.028100804547556
786,3,87,3,1930,1.5042766095938493
787,3,60,4,2000,5.5362987541185245
788,2,51,1,2002,5.368480014073527
790,3,93,2,2005,3.0482574440179495
791,3,71,1,2021,3.215018856368662
792,3,60,4,2019,3.229503918362215
793,3,70,4,2003,8.950383924033956
794,3,77,3,2009,4.627809124287993
797,4,123,2,2009,1.7729576626938195
798,4,92,3,1937,2.950728658023147
799,4,112,1,2019,4.627809124287993
800,4,98,4,2017,2.4656921514269445
801,4,86,2,2005,4.627809124287993
803,4,190,3,2010,4.627809124287993
804,4,145,3,2014,4.627809124287993
805,2,80,3,2020,5.366227568282904
806,2,55,2,2020,5.366227568282904
807,2,55,1,2020,5.366227568282904
808,2,51,2,2020,5.366227568282904
809,2,45,1,2021,7.727643811926475
812,2,47,3,2017,3.764078274853733
819,2,74,1,1970,1.9339117769294034
820,2,42,3,2021,3.7759754581122
821,3,77,1,1903,0.33608526663220517
823,4,91,5,1960,1.4548943184742773
825,4,127,1,1910,0.919179918821867
828,3,63,3,2000,7.4817508027579995
829,5,150,4,2019,3.764078274853733
831,2,57,5,1983,4.555350481612918
832,2,57,4,1990,7.153095479774088
834,2,43,3,1975,3.7759754581122
835,2,70,1,2018,7.727643811926475
836,2,56,1,2018,7.727643811926475
837,2,53,1,2018,7.727643811926475
838,2,64,5,1920,3.9650819778586195
839,2,47,4,2020,4.627809124287993
840,2,55,5,2021,1.4993440102972917
841,3,44,3,1960,7.153095479774088
842,3,73,1,2016,2.950728658023147
843,2,43,4,2021,6.412357511311248
844,3,57,3,1965,4.48966661360998
845,3,61,7,1996,5.5362987541185245
846,3,109,1,2008,3.229503918362215
848,3,88,1,2008,3.7759754581122
849,3,83,2,2012,4.48966661360998
850,3,86,1,2008,3.229503918362215
851,4,110,2,2008,3.229503918362215
